link,Code,Sale_rent,Price,Total_area,Floor,Rooms,Date
,,,,,,,
https://akcern.am/en/property/7332,Code - 80304,For sale Apartment in Yerevan,"200,000 USD",'Total area 140 m 2','Floor 2','Count of rooms 5',06.07.2021
https://akcern.am/en/property/15734,Code - 30643,For rent Apartment in Yerevan,350 USD,'Total area 110 m 2','Floor 4','Count of rooms 3',06.07.2021
https://akcern.am/en/property/7029,Code - 80300,For sale Apartment in Yerevan,"1,500,000 USD",'Total area 370 m 2','Floor 16','Count of rooms 3',06.07.2021
https://akcern.am/en/property/7333,Code - 80075,For rent Apartment in Yerevan,800 USD,'Total area 140 m 2','Floor 2','Count of rooms 5',06.07.2021
https://akcern.am/en/property/1434,Code - 40450,For sale Apartment in Yerevan,"155,000 USD",'Total area 95 m 2','Floor 6','Count of rooms 4',06.07.2021
https://akcern.am/en/property/7196,Code - 32056,For sale Apartment in Yerevan,"110,000 USD",'Total area 91 m 2','Floor 6','Count of rooms 3',06.07.2021
https://akcern.am/en/property/4203,Code - 31858,For sale Apartment in Yerevan,"60,000 USD",'Total area 78 m 2','Floor 2','Count of rooms 3',06.07.2021
https://akcern.am/en/property/4975,Code - 20566,For rent Apartment in Yerevan,800 USD,'Total area 72 m 2','Floor 2','Count of rooms 2',06.07.2021
https://akcern.am/en/property/5333,Code - 10411,For rent Apartment in Yerevan,270 USD,'Total area 45 m 2','Floor 5','Count of rooms 1',06.07.2021
https://akcern.am/en/property/2932,Code - 10341,For rent Apartment in Yerevan,400 USD,'Total area 45 m 2','Floor 3','Count of rooms 1',06.07.2021
https://akcern.am/en/property/151,Code - 10193,For rent Apartment in Yerevan,650 USD,'Total area 39 m 2','Floor 4','Count of rooms 1',06.07.2021
https://akcern.am/en/property/18826,Code - 260584,For sale Apartment in Yerevan,"70,000 USD",'Total area 67 m 2','Floor 5','Count of rooms 2',06.07.2021
https://akcern.am/en/property/6206,Code - 22133,For sale Apartment in Yerevan,"200,000 USD",'Total area 72 m 2','Floor 2','Count of rooms 2',06.07.2021
https://akcern.am/en/property/11026,Code - 30595,For rent Apartment in Yerevan,500 USD,'Total area 75 m 2','Floor 3','Count of rooms 3',06.07.2021
https://akcern.am/en/property/18849,Code - 360613,For sale Apartment in Yerevan,"73,000 USD",'Total area 81 m 2','Floor 7','Count of rooms 3',06.07.2021
https://akcern.am/en/property/8935,Code - 22656,For sale Apartment in Yerevan,"130,000 USD",'Total area 66 m 2','Floor 8','Count of rooms 2',06.07.2021
https://akcern.am/en/property/18893,Code - 360655,For sale Apartment in Yerevan,"68,000 USD",'Total area 73 m 2','Floor 3','Count of rooms 3',06.07.2021
https://akcern.am/en/property/12036,Code - 260091,For sale Apartment in Yerevan,"100,000 USD",'Total area 79 m 2','Floor 8','Count of rooms 2',06.07.2021
https://akcern.am/en/property/9634,Code - 158623,For sale Apartment in Yerevan,"53,000 USD",'Total area 47 m 2','Floor 6','Count of rooms 1',06.07.2021
https://akcern.am/en/property/19289,Code - 261046,For sale Apartment in Yerevan,"67,000 USD",'Total area 49 m 2','Floor 7','Count of rooms 2',06.07.2021
https://akcern.am/en/property/19261,Code - 461022,For sale Apartment in Yerevan,"155,000 USD",'Total area 114 m 2','Floor 4','Count of rooms 4',06.07.2021
https://akcern.am/en/property/18919,Code - 160684,For sale Apartment in Yerevan,"135,000 USD",'Total area 37 m 2','Floor 2','Count of rooms 1',06.07.2021
https://akcern.am/en/property/7829,Code - 22170,For sale Apartment in Yerevan,"70,000 USD",'Total area 73 m 2','Floor 12','Count of rooms 2',06.07.2021
https://akcern.am/en/property/2953,Code - 20820,For sale Apartment in Yerevan,"185,000 USD",'Total area 45 m 2','Floor 2','Count of rooms 2',06.07.2021
https://akcern.am/en/property/19350,Code - 361108,For sale Apartment in Yerevan,"410,000 USD",'Total area 116 m 2','Floor 5','Count of rooms 3',06.07.2021
https://akcern.am/en/property/3064,Code - 30769,For rent Apartment in Yerevan,800 USD,'Total area 120 m 2','Floor 14','Count of rooms 3',06.07.2021
https://akcern.am/en/property/16539,Code - 20604,For rent Apartment in Yerevan,300 USD,'Total area 59 m 2','Floor 5','Count of rooms 2',06.07.2021
https://akcern.am/en/property/19024,Code - 460779,For sale Apartment in Yerevan,"195,000 USD",'Total area 107 m 2','Floor 2','Count of rooms 4',06.07.2021
https://akcern.am/en/property/9659,Code - 358661,For sale Apartment in Yerevan,"165,000 USD",'Total area 130 m 2','Floor 11','Count of rooms 3',05.07.2021
https://akcern.am/en/property/11711,Code - 360009,For sale Apartment in Yerevan,"125,000 USD",'Total area 100 m 2','Floor 8','Count of rooms 3',05.07.2021
https://akcern.am/en/property/19346,Code - 461104,For rent Apartment in Yerevan,"2,500 USD",'Total area 169 m 2','Floor 5','Count of rooms 4',05.07.2021
https://akcern.am/en/property/19345,Code - 461103,For rent Apartment in Yerevan,"2,500 USD",'Total area 174 m 2','Floor 5','Count of rooms 4',05.07.2021
https://akcern.am/en/property/19344,Code - 461102,For sale Apartment in Yerevan,"1,000,000 USD",'Total area 169 m 2','Floor 5','Count of rooms 4',05.07.2021
https://akcern.am/en/property/18815,Code - 260571,For sale Apartment in Yerevan,"65,000 USD",'Total area 67 m 2','Floor 8','Count of rooms 2',05.07.2021
https://akcern.am/en/property/19343,Code - 461101,For sale Apartment in Yerevan,"1,000,000 USD",'Total area 174 m 2','Floor 5','Count of rooms 4',05.07.2021
https://akcern.am/en/property/13688,Code - 359115,For sale Apartment in Yerevan,"59,000 USD",'Total area 78 m 2','Floor 4','Count of rooms 3',05.07.2021
https://akcern.am/en/property/11113,Code - 21124,For sale Apartment in Yerevan,"130,000 USD",'Total area 77 m 2','Floor 2','Count of rooms 2',05.07.2021
https://akcern.am/en/property/19342,Code - 860973,For rent Apartment in Yerevan,"1,300 USD",'Total area 88 m 2','Floor 5','Count of rooms 5',05.07.2021
https://akcern.am/en/property/15422,Code - 10580,For rent Apartment in Yerevan,350 USD,'Total area 46 m 2','Floor 9','Count of rooms 1',05.07.2021
https://akcern.am/en/property/19271,Code - 361028,For sale Apartment in Yerevan,"180,000 USD",'Total area 116 m 2','Floor 7','Count of rooms 3',05.07.2021
https://akcern.am/en/property/19296,Code - 161061,For sale Apartment in Yerevan,"55,000 USD",'Total area 47 m 2','Floor 15','Count of rooms 1',05.07.2021
https://akcern.am/en/property/18989,Code - 360746,For sale Apartment in Yerevan,"310,000 USD",'Total area 121 m 2','Floor 6','Count of rooms 3',05.07.2021
https://akcern.am/en/property/1306,Code - 20969,For sale Apartment in Yerevan,"125,000 USD",'Total area 63 m 2','Floor ','Count of rooms 2',05.07.2021
https://akcern.am/en/property/710,Code - 40453,For sale Apartment in Yerevan,"370,000 USD",'Total area 170 m 2','Floor 5','Count of rooms 4',05.07.2021
https://akcern.am/en/property/2546,Code - 80401,For sale Apartment in Yerevan,"90,000 USD",'Total area 126 m 2','Floor 4','Count of rooms 5',05.07.2021
https://akcern.am/en/property/19234,Code - 360993,For sale Apartment in Yerevan,"67,000 USD",'Total area 92 m 2','Floor ','Count of rooms 3',05.07.2021
https://akcern.am/en/property/4846,Code - 32777,For sale Apartment in Yerevan,"94,000 USD",'Total area 74 m 2','Floor 14','Count of rooms 3',05.07.2021
https://akcern.am/en/property/8910,Code - 32148,For sale Apartment in Yerevan,"110,000 USD",'Total area 69 m 2','Floor 5','Count of rooms 3',05.07.2021
https://akcern.am/en/property/19337,Code - 161097,For sale Apartment in Yerevan,"41,000 USD",'Total area 48 m 2','Floor 2','Count of rooms 1',05.07.2021
https://akcern.am/en/property/19204,Code - 360959,For rent Apartment in Yerevan,750 USD,'Total area 83 m 2','Floor 5','Count of rooms 3',05.07.2021
https://akcern.am/en/property/5799,Code - 32847,For sale Apartment in Yerevan,"60,000 USD",'Total area 91 m 2','Floor 1','Count of rooms 3',05.07.2021
https://akcern.am/en/property/9431,Code - 358414,For sale Apartment in Yerevan,"63,000 USD",'Total area 79 m 2','Floor 1','Count of rooms 3',05.07.2021
https://akcern.am/en/property/19333,Code - 261051,For sale Apartment in Yerevan,"98,000 USD",'Total area 69 m 2','Floor 2','Count of rooms 2',05.07.2021
https://akcern.am/en/property/19335,Code - 261053,For sale Apartment in Yerevan,"77,000 USD",'Total area 66 m 2','Floor 1','Count of rooms 2',05.07.2021
https://akcern.am/en/property/19293,Code - 161057,For sale Apartment in Yerevan,"62,000 USD",'Total area 41 m 2','Floor 4','Count of rooms 1',05.07.2021
https://akcern.am/en/property/19143,Code - 460897,For sale Apartment in Yerevan,"279,000 USD",'Total area 154 m 2','Floor 10','Count of rooms 4',03.07.2021
https://akcern.am/en/property/7981,Code - 32070,For sale Apartment in Yerevan,"380,000 USD",'Total area 107 m 2','Floor 7','Count of rooms 3',03.07.2021
https://akcern.am/en/property/10257,Code - 359310,For sale Apartment in Yerevan,"65,000 USD",'Total area 84 m 2','Floor 13','Count of rooms 3',03.07.2021
https://akcern.am/en/property/7571,Code - 30581,For rent Apartment in Yerevan,"1,500 USD",'Total area 107 m 2','Floor 7','Count of rooms 3',03.07.2021
https://akcern.am/en/property/19328,Code - 361095,For sale Apartment in Yerevan,"170,000 USD",'Total area 133 m 2','Floor 4','Count of rooms 3',03.07.2021
https://akcern.am/en/property/19322,Code - 461089,For sale Apartment in Yerevan,"100,000 USD",'Total area 103 m 2','Floor 10','Count of rooms 4',03.07.2021
https://akcern.am/en/property/6374,Code - 32582,For sale Apartment in Yerevan,"66,500 USD",'Total area 69 m 2','Floor 7','Count of rooms 3',03.07.2021
https://akcern.am/en/property/5054,Code - 20570,For rent Apartment in Yerevan,700 USD,'Total area 58 m 2','Floor 4','Count of rooms 2',03.07.2021
https://akcern.am/en/property/19323,Code - 161090,For sale Apartment in Yerevan,"29,000 USD",'Total area 32 m 2','Floor 2','Count of rooms 1',03.07.2021
https://akcern.am/en/property/7749,Code - 32919,For sale Apartment in Yerevan,"62,500 USD",'Total area 78 m 2','Floor 4','Count of rooms 3',03.07.2021
https://akcern.am/en/property/7144,Code - 32900,For sale Apartment in Yerevan,"120,000 USD",'Total area 100 m 2','Floor 5','Count of rooms 3',03.07.2021
https://akcern.am/en/property/7012,Code - 22604,For sale Apartment in Yerevan,"130,000 USD",'Total area 71 m 2','Floor 5','Count of rooms 2',03.07.2021
https://akcern.am/en/property/11567,Code - 30626,For rent Apartment in Yerevan,500 USD,'Total area 90 m 2','Floor 5','Count of rooms 3',03.07.2021
https://akcern.am/en/property/17759,Code - 30396,For rent Apartment in Yerevan,130 USD,'Total area 68 m 2','Floor 1','Count of rooms 3',03.07.2021
https://akcern.am/en/property/19319,Code - 161086,For rent Apartment in Yerevan,410 USD,'Total area 47 m 2','Floor 2','Count of rooms 1',03.07.2021
https://akcern.am/en/property/7284,Code - 32616,For sale Apartment in Yerevan,"220,000 USD",'Total area 100 m 2','Floor ','Count of rooms 3',03.07.2021
https://akcern.am/en/property/19170,Code - 160925,For rent Apartment in Yerevan,400 USD,'Total area 47 m 2','Floor 5','Count of rooms 1',03.07.2021
https://akcern.am/en/property/19317,Code - 461084,For sale Apartment in Yerevan,"85,000 USD",'Total area 94 m 2','Floor 3','Count of rooms 4',03.07.2021
https://akcern.am/en/property/19316,Code - 361083,For sale Apartment in Yerevan,"110,000 USD",'Total area 79 m 2','Floor 3','Count of rooms 3',03.07.2021
https://akcern.am/en/property/19314,Code - 161081,For sale Apartment in Yerevan,"30,000 USD",'Total area 37 m 2','Floor 5','Count of rooms 1',02.07.2021
https://akcern.am/en/property/19090,Code - 360841,For sale Apartment in Yerevan,"72,000 USD",'Total area 88 m 2','Floor 5','Count of rooms 3',02.07.2021
https://akcern.am/en/property/8695,Code - 20670,For rent Apartment in Yerevan,800 USD,'Total area 85 m 2','Floor 4','Count of rooms 2',02.07.2021
https://akcern.am/en/property/7633,Code - 10996,For sale Apartment in Yerevan,"105,000 USD",'Total area 48 m 2','Floor 6','Count of rooms 1',02.07.2021
https://akcern.am/en/property/19169,Code - 160924,For sale Apartment in Yerevan,"67,000 USD",'Total area 47 m 2','Floor 5','Count of rooms 1',02.07.2021
https://akcern.am/en/property/19310,Code - 361077,For sale Apartment in Yerevan,"140,000 USD",'Total area 95 m 2','Floor 3','Count of rooms 3',02.07.2021
https://akcern.am/en/property/19309,Code - 461076,For sale Apartment in Yerevan,"155,000 USD",'Total area 117 m 2','Floor 15','Count of rooms 4',02.07.2021
https://akcern.am/en/property/19306,Code - 861073,For sale Apartment in Yerevan,"118,000 USD",'Total area 139 m 2','Floor 14','Count of rooms 5',02.07.2021
https://akcern.am/en/property/5061,Code - 32791,For sale Apartment in Yerevan,"185,000 USD",'Total area 92 m 2','Floor 3','Count of rooms 3',02.07.2021
https://akcern.am/en/property/3503,Code - 32641,For sale Apartment in Yerevan,"65,000 USD",'Total area 77 m 2','Floor 8','Count of rooms 3',02.07.2021
https://akcern.am/en/property/19303,Code - 861069,For sale Apartment in Yerevan,"64,000 USD",'Total area 68 m 2','Floor 5','Count of rooms 3',02.07.2021
https://akcern.am/en/property/19210,Code - 260965,For sale Apartment in Yerevan,"58,000 USD",'Total area 78 m 2','Floor 14','Count of rooms 2',02.07.2021
https://akcern.am/en/property/19302,Code - 361068,For sale Apartment in Yerevan,"240,000 USD",'Total area 87 m 2','Floor 2','Count of rooms 3',02.07.2021
https://akcern.am/en/property/8971,Code - 33150,For sale Apartment in Yerevan,"72,000 USD",'Total area 84 m 2','Floor 5','Count of rooms 3',02.07.2021
https://akcern.am/en/property/19242,Code - 361002,For sale Apartment in Yerevan,"117,000 USD",'Total area 98 m 2','Floor 9','Count of rooms 3',02.07.2021
https://akcern.am/en/property/13690,Code - 259121,For rent Apartment in Yerevan,350 USD,'Total area 54 m 2','Floor 5','Count of rooms 2',01.07.2021
https://akcern.am/en/property/13689,Code - 259120,For sale Apartment in Yerevan,"57,000 USD",'Total area 54 m 2','Floor 5','Count of rooms 2',01.07.2021
https://akcern.am/en/property/2391,Code - 10312,For rent Apartment in Yerevan,500 USD,'Total area 44 m 2','Floor 11','Count of rooms 1',01.07.2021
https://akcern.am/en/property/18665,Code - 260411,For rent Apartment in Yerevan,700 USD,'Total area 80 m 2','Floor 4','Count of rooms 2',01.07.2021
https://akcern.am/en/property/16523,Code - 10378,For rent Apartment in Yerevan,300 USD,'Total area 39 m 2','Floor ','Count of rooms 1',01.07.2021
https://akcern.am/en/property/9279,Code - 21529,For sale Apartment in Yerevan,"95,000 USD",'Total area 77 m 2','Floor 4','Count of rooms 2',01.07.2021
https://akcern.am/en/property/12773,Code - 260261,For sale Apartment in Yerevan,"45,000 USD",'Total area 60 m 2','Floor 4','Count of rooms 2',01.07.2021
https://akcern.am/en/property/11095,Code - 159930,For sale Apartment in Yerevan,"60,000 USD",'Total area 49 m 2','Floor 6','Count of rooms 1',01.07.2021
https://akcern.am/en/property/11096,Code - 159931,For rent Apartment in Yerevan,285 USD,'Total area 49 m 2','Floor 6','Count of rooms 1',01.07.2021
https://akcern.am/en/property/6375,Code - 20521,For rent Apartment in Yerevan,310 USD,'Total area 65 m 2','Floor 5','Count of rooms 2',01.07.2021
https://akcern.am/en/property/3521,Code - 10353,For rent Apartment in Yerevan,300 USD,'Total area 47 m 2','Floor 6','Count of rooms 1',01.07.2021
https://akcern.am/en/property/690,Code - 20420,For sale Apartment in Yerevan,"70,000 USD",'Total area 77 m 2','Floor 8','Count of rooms 2',01.07.2021
https://akcern.am/en/property/567,Code - 20420,For rent Apartment in Yerevan,220 USD,'Total area 40 m 2','Floor 3','Count of rooms 2',01.07.2021
https://akcern.am/en/property/18735,Code - 460489,For sale Apartment in Yerevan,"290,000 USD",'Total area 188 m 2','Floor 3','Count of rooms 4',01.07.2021
https://akcern.am/en/property/5673,Code - 30558,For rent Apartment in Yerevan,600 USD,'Total area 90 m 2','Floor ','Count of rooms 3',01.07.2021
https://akcern.am/en/property/19078,Code - 260829,For sale Apartment in Yerevan,"47,000 USD",'Total area 53 m 2','Floor 4','Count of rooms 2',01.07.2021
https://akcern.am/en/property/8552,Code - 80411,For sale Apartment in Yerevan,"130,000 USD",'Total area 180 m 2','Floor 2','Count of rooms 6',01.07.2021
https://akcern.am/en/property/1735,Code - 20438,For rent Apartment in Yerevan,"1,100 USD",'Total area 96 m 2','Floor 9','Count of rooms 2',01.07.2021
https://akcern.am/en/property/4837,Code - 10389,For rent Apartment in Yerevan,400 USD,'Total area 44 m 2','Floor 3','Count of rooms 1',01.07.2021
https://akcern.am/en/property/10585,Code - 159648,For sale Apartment in Yerevan,"50,000 USD",'Total area 44 m 2','Floor 4','Count of rooms 1',01.07.2021
https://akcern.am/en/property/14815,Code - 30709,For rent Apartment in Yerevan,270 USD,'Total area 78 m 2','Floor 14','Count of rooms 3',01.07.2021
https://akcern.am/en/property/19008,Code - 260764,For rent Apartment in Yerevan,500 USD,'Total area 58 m 2','Floor 5','Count of rooms 2',01.07.2021
https://akcern.am/en/property/11053,Code - 359898,For sale Apartment in Yerevan,"115,000 USD",'Total area 94 m 2','Floor 8','Count of rooms 3',01.07.2021
https://akcern.am/en/property/12761,Code - 359824,For sale Apartment in Yerevan,"103,000 USD",'Total area 93 m 2','Floor 3','Count of rooms 3',01.07.2021
https://akcern.am/en/property/19276,Code - 461033,For sale Apartment in Yerevan,"262,000 USD",'Total area 249 m 2','Floor 13','Count of rooms 4',01.07.2021
https://akcern.am/en/property/18817,Code - 160573,For sale Apartment in Yerevan,"45,000 USD",'Total area 47 m 2','Floor 2','Count of rooms 1',01.07.2021
https://akcern.am/en/property/11142,Code - 159937,For sale Apartment in Yerevan,"42,000 USD",'Total area 52 m 2','Floor 5','Count of rooms 1',01.07.2021
https://akcern.am/en/property/19295,Code - 361059,For sale Apartment in Yerevan,"86,500 USD",'Total area 73 m 2','Floor 3','Count of rooms 3',01.07.2021
https://akcern.am/en/property/19284,Code - 361044,For rent Apartment in Yerevan,500 USD,'Total area 85 m 2','Floor 9','Count of rooms 3',01.07.2021
https://akcern.am/en/property/19283,Code - 361043,For sale Apartment in Yerevan,"170,000 USD",'Total area 85 m 2','Floor 9','Count of rooms 3',01.07.2021
https://akcern.am/en/property/19294,Code - 161058,For sale Apartment in Yerevan,"53,000 USD",'Total area 48 m 2','Floor 2','Count of rooms 1',01.07.2021
https://akcern.am/en/property/6133,Code - 32031,For sale Apartment in Yerevan,"71,500 USD",'Total area 74 m 2','Floor 4','Count of rooms 3',01.07.2021
https://akcern.am/en/property/7940,Code - 32927,For sale Apartment in Yerevan,"175,000 USD",'Total area 83 m 2','Floor 5','Count of rooms 3',01.07.2021
https://akcern.am/en/property/19176,Code - 360931,For sale Apartment in Yerevan,"73,000 USD",'Total area 72 m 2','Floor 5','Count of rooms 3',01.07.2021
https://akcern.am/en/property/1658,Code - 20383,For rent Apartment in Yerevan,600 USD,'Total area 56 m 2','Floor 10','Count of rooms 2',30.06.2021
https://akcern.am/en/property/2931,Code - 21831,For sale Apartment in Yerevan,"85,000 USD",'Total area 56 m 2','Floor 10','Count of rooms 2',30.06.2021
https://akcern.am/en/property/4361,Code - 40607,For sale Apartment in Yerevan,"670,000 USD",'Total area 170 m 2','Floor 4','Count of rooms 4',30.06.2021
https://akcern.am/en/property/19292,Code - 261050,For sale Apartment in Yerevan,"73,000 USD",'Total area 70 m 2','Floor 4','Count of rooms 2',30.06.2021
https://akcern.am/en/property/11729,Code - 10746,For rent Apartment in Yerevan,350 USD,'Total area 41 m 2','Floor 6','Count of rooms 1',30.06.2021
https://akcern.am/en/property/8496,Code - 10762,For rent Apartment in Yerevan,400 USD,'Total area 45 m 2','Floor 4','Count of rooms 1',30.06.2021
https://akcern.am/en/property/9344,Code - 30876,For rent Apartment in Yerevan,700 USD,'Total area 92 m 2','Floor 2','Count of rooms 3',30.06.2021
https://akcern.am/en/property/19215,Code - 260971,For sale Apartment in Yerevan,"68,000 USD",'Total area 62 m 2','Floor 10','Count of rooms 2',30.06.2021
https://akcern.am/en/property/8692,Code - 22117,For sale Apartment in Yerevan,"185,000 USD",'Total area 70 m 2','Floor 4','Count of rooms 2',30.06.2021
https://akcern.am/en/property/12114,Code - 10397,For rent Apartment in Yerevan,700 USD,'Total area 39 m 2','Floor 5','Count of rooms 1',30.06.2021
https://akcern.am/en/property/16247,Code - 20746,For rent Apartment in Yerevan,300 USD,'Total area 60 m 2','Floor ','Count of rooms 2',30.06.2021
https://akcern.am/en/property/19277,Code - 461034,For sale Apartment in Yerevan,"298,000 USD",'Total area 283 m 2','Floor 2','Count of rooms 4',30.06.2021
https://akcern.am/en/property/10270,Code - 259326,For rent Apartment in Yerevan,800 USD,'Total area 63 m 2','Floor 8','Count of rooms 2',30.06.2021
https://akcern.am/en/property/7049,Code - 30544,For rent Apartment in Yerevan,700 USD,'Total area 90 m 2','Floor 3','Count of rooms 3',30.06.2021
https://akcern.am/en/property/14259,Code - 10269,For rent Apartment in Yerevan,300 USD,'Total area 49 m 2','Floor ','Count of rooms 1',30.06.2021
https://akcern.am/en/property/3380,Code - 10349,For rent Apartment in Yerevan,250 USD,'Total area 45 m 2','Floor 1','Count of rooms 1',30.06.2021
https://akcern.am/en/property/19282,Code - 861039,For sale Apartment in Yerevan,"285,000 USD",'Total area 204 m 2',,'Count of rooms 5',30.06.2021
https://akcern.am/en/property/2878,Code - 21819,For sale Apartment in Yerevan,"130,000 USD",'Total area 71 m 2','Floor 3','Count of rooms 2',30.06.2021
https://akcern.am/en/property/2693,Code - 32429,For sale Apartment in Yerevan,"50,000 USD",'Total area 79 m 2','Floor 9','Count of rooms 3',30.06.2021
https://akcern.am/en/property/9336,Code - 22220,For sale Apartment in Ararat,"11,000 USD",'Total area 49 m 2','Floor 3','Count of rooms 2',30.06.2021
https://akcern.am/en/property/19281,Code - 261038,For sale Apartment in Yerevan,"60,000 USD",'Total area 63 m 2','Floor 5','Count of rooms 2',30.06.2021
https://akcern.am/en/property/8933,Code - 22213,For sale Apartment in Yerevan,"63,000 USD",'Total area 63 m 2','Floor 14','Count of rooms 2',30.06.2021
https://akcern.am/en/property/8932,Code - 22212,For sale Apartment in Yerevan,"56,000 USD",'Total area 52 m 2','Floor 14','Count of rooms 2',30.06.2021
https://akcern.am/en/property/8931,Code - 22211,For sale Apartment in Yerevan,"54,000 USD",'Total area 53 m 2','Floor 14','Count of rooms 2',30.06.2021
https://akcern.am/en/property/9834,Code - 858893,For sale Apartment in Yerevan,"166,000 USD",'Total area 180 m 2','Floor 14','Count of rooms 5',30.06.2021
https://akcern.am/en/property/9833,Code - 358892,For sale Apartment in Yerevan,"120,000 USD",'Total area 120 m 2','Floor 14','Count of rooms 3',30.06.2021
https://akcern.am/en/property/9857,Code - 358922,For sale Apartment in Yerevan,"73,000 USD",'Total area 85 m 2','Floor 6','Count of rooms 3',30.06.2021
https://akcern.am/en/property/8981,Code - 32776,For sale Apartment in Yerevan,"360,000 USD",'Total area 155 m 2','Floor 14','Count of rooms 3',30.06.2021
https://akcern.am/en/property/19279,Code - 161036,For sale Apartment in Yerevan,"29,000 USD",'Total area 40 m 2','Floor 8','Count of rooms 1',30.06.2021
https://akcern.am/en/property/19280,Code - 261037,For rent Apartment in Yerevan,350 USD,'Total area 55 m 2','Floor 13','Count of rooms 2',29.06.2021
https://akcern.am/en/property/15523,Code - 160315,For sale Apartment in Yerevan,"35,000 USD",'Total area 39 m 2','Floor 4','Count of rooms 1',29.06.2021
https://akcern.am/en/property/15522,Code - 160314,For sale Apartment in Yerevan,"35,000 USD",'Total area 39 m 2','Floor 4','Count of rooms 1',29.06.2021
https://akcern.am/en/property/8828,Code - 22653,For sale Apartment in Yerevan,"120,000 USD",'Total area 70 m 2','Floor 3','Count of rooms 2',29.06.2021
https://akcern.am/en/property/8964,Code - 40600,For sale Apartment in Yerevan,"87,000 USD",'Total area 87 m 2','Floor 4','Count of rooms 4',29.06.2021
https://akcern.am/en/property/8273,Code - 30564,For rent Apartment in Yerevan,700 USD,'Total area 87 m 2','Floor 2','Count of rooms 3',29.06.2021
https://akcern.am/en/property/11086,Code - 459065,For rent Apartment in Yerevan,600 USD,'Total area 124 m 2','Floor 8','Count of rooms 4',29.06.2021
https://akcern.am/en/property/18738,Code - 160492,For sale Apartment in Yerevan,"48,000 USD",'Total area 47 m 2','Floor 14','Count of rooms 1',29.06.2021
https://akcern.am/en/property/19154,Code - 260908,For sale Apartment in Yerevan,"75,000 USD",'Total area 55 m 2','Floor 13','Count of rooms 2',29.06.2021
https://akcern.am/en/property/19027,Code - 160782,For sale Apartment in Yerevan,"62,000 USD",'Total area 40 m 2','Floor 2','Count of rooms 1',29.06.2021
https://akcern.am/en/property/19275,Code - 361032,For sale Apartment in Yerevan,"62,000 USD",'Total area 77 m 2','Floor 3','Count of rooms 3',29.06.2021
https://akcern.am/en/property/19274,Code - 361031,For sale Apartment in Yerevan,"62,000 USD",'Total area 77 m 2','Floor 3','Count of rooms 3',29.06.2021
https://akcern.am/en/property/18721,Code - 160471,For sale Apartment in Yerevan,"65,000 USD",'Total area 48 m 2','Floor 5','Count of rooms 1',29.06.2021
https://akcern.am/en/property/19272,Code - 161029,For sale Apartment in Yerevan,"39,000 USD",'Total area 21 m 2','Floor 1','Count of rooms 1',29.06.2021
https://akcern.am/en/property/2476,Code - 40451,For sale Apartment in Yerevan,"320,000 USD",'Total area 203 m 2','Floor 14','Count of rooms 4',29.06.2021
https://akcern.am/en/property/19243,Code - 861003,For sale Apartment in Yerevan,"105,000 USD",'Total area 105 m 2','Floor ','Count of rooms 3',29.06.2021
https://akcern.am/en/property/19258,Code - 361019,For sale Apartment in Yerevan,"65,000 USD",'Total area 81 m 2','Floor 7','Count of rooms 3',29.06.2021
https://akcern.am/en/property/7989,Code - 21208,For sale Apartment in Yerevan,"118,000 USD",'Total area 68 m 2','Floor ','Count of rooms 2',29.06.2021
https://akcern.am/en/property/10726,Code - 359223,For sale Apartment in Yerevan,"93,000 USD",'Total area 84 m 2','Floor 5','Count of rooms 3',29.06.2021
https://akcern.am/en/property/9734,Code - 458763,For sale Apartment in Yerevan,"292,000 USD",'Total area 138 m 2','Floor 12','Count of rooms 4',28.06.2021
https://akcern.am/en/property/18916,Code - 460679,For sale Apartment in Yerevan,"199,000 USD",'Total area 131 m 2','Floor 6','Count of rooms 4',28.06.2021
https://akcern.am/en/property/9157,Code - 22663,For sale Apartment in Yerevan,"130,000 USD",'Total area 75 m 2','Floor 6','Count of rooms 2',28.06.2021
https://akcern.am/en/property/9156,Code - 22662,For sale Apartment in Yerevan,"85,000 USD",'Total area 55 m 2','Floor 6','Count of rooms 2',28.06.2021
https://akcern.am/en/property/12020,Code - 31621,For sale Apartment in Yerevan,"370,000 USD",'Total area 154 m 2','Floor 5','Count of rooms 3',28.06.2021
https://akcern.am/en/property/19265,Code - 360979,For sale Apartment in Yerevan,"51,000 USD",'Total area 75 m 2','Floor 5','Count of rooms 3',28.06.2021
https://akcern.am/en/property/19270,Code - 361027,For sale Apartment in Yerevan,"48,000 USD",'Total area 77 m 2','Floor 7','Count of rooms 3',28.06.2021
https://akcern.am/en/property/19268,Code - 161016,For sale Apartment in Djermuk,"15,000 USD",'Total area 47 m 2','Floor ','Count of rooms 1',28.06.2021
https://akcern.am/en/property/18728,Code - 360479,For sale Apartment in Yerevan,"135,000 USD",'Total area 108 m 2','Floor 7','Count of rooms 3',26.06.2021
https://akcern.am/en/property/12306,Code - 360224,For sale Apartment in Yerevan,"200,000 USD",'Total area 105 m 2','Floor 9','Count of rooms 3',26.06.2021
https://akcern.am/en/property/19263,Code - 161024,For rent Apartment in Yerevan,170 USD,'Total area 46 m 2','Floor 2','Count of rooms 1',26.06.2021
https://akcern.am/en/property/19262,Code - 161023,For sale Apartment in Yerevan,"34,000 USD",'Total area 46 m 2','Floor 2','Count of rooms 1',26.06.2021
